,username,C_centrality,team,level
0,SupremeMasterPT,0.40900056947608204,red,40
1,nunesrd,0.36531281790437437,red,40
2,yont87,0.3638323201621074,blue,40
3,zediogopg,0.3410280151946819,blue,40
4,xCeefour,0.33973746452223275,yellow,36
5,thenemo15,0.33686913696060033,blue,38
6,ojoaogomes,0.33655342080599815,red,40
7,TinaArroyo,0.3288484432234432,red,40
8,vsamji,0.3252740036231884,red,40
9,waay2old4this,0.3220650224215247,yellow,40
10,pda9891,0.32120080500894455,yellow,40
11,tigermarques,0.32120080500894455,red,32
12,naerp2606,0.3197707034728406,red,40
13,gracanelo123,0.3163898678414097,red,32
14,miknu2k14,0.3163898678414097,blue,39
15,sergioneves86,0.31500219298245613,red,37
16,couves11,0.31500219298245613,blue,37
17,EduJMac,0.3106423010380623,red,40
18,sup3rfm,0.3101057858376511,blue,40
19,luissmmiguel,0.30771422450728364,blue,24
20,SrJMK,0.30771422450728364,red,40
21,Vlapower94,0.30509983007646563,red,40
22,ravemir,0.30252948609941027,yellow,33
23,pjts,0.30202060555088306,yellow,37
24,jsantos,0.30126048657718124,blue,40
25,untillastone,0.30126048657718124,blue,35
26,pokeraitt,0.2982578903654485,red,28
27,j0rgersn,0.2960449299258038,blue,40
28,s8nm4m,0.29482963875205254,red,30
29,PatoGotcha,0.29482963875205254,blue,40
30,PokeNE0N,0.29266707416462917,blue,40
31,EmaGonzRes,0.2921908055329536,blue,40
32,wofraider,0.2917160844841592,red,39
33,pattucius,0.2917160844841592,blue,35
34,joaoribeirost,0.29147930194805194,yellow,35
35,nunosilva182,0.29147930194805194,yellow,32
36,PeterBirth,0.2910068881685575,red,40
37,PrabhasPaul,0.2907712550607287,red,40
38,Nunex64,0.2900666397415186,red,40
39,tiagoc432,0.2898325262308313,red,40
40,oMestreMonteiro,0.2895987903225807,blue,27
41,xJAndr4dex,0.2893654311039484,blue,37
42,CptPina,0.28913244766505636,yellow,40
43,aalberto22,0.2884357429718875,yellow,34
44,Andrejuve93,0.288204253611557,yellow,40
45,Inessofia99,0.2877423878205128,red,33
46,AzidoAzideAzid3,0.2877423878205128,red,38
47,rubenmm1812,0.28728200000000004,red,25
48,pedroMFM,0.2868230830670927,blue,25
49,King0fH34rts,0.2868230830670927,yellow,38
50,pgms,0.286365629984051,red,37
51,pedrofcsousa,0.286365629984051,yellow,33
52,julio2341,0.2859096337579618,red,30
53,leFux,0.2859096337579618,red,34
54,jalavais,0.2859096337579618,red,34
55,porodkaito,0.2859096337579618,blue,36
56,itsausername,0.2859096337579618,red,28
57,m1ndHackz,0.2859096337579618,red,30
58,shlanshan8,0.2859096337579618,blue,33
59,jonhylopes1999,0.2859096337579618,red,31
60,vaitupt,0.2859096337579618,red,39
61,hugomartins11,0.2859096337579618,blue,28
62,rjsm87,0.2859096337579618,yellow,40
63,quinete7,0.2859096337579618,blue,36
64,verbal1971,0.2859096337579618,red,38
65,oMarafade,0.2859096337579618,yellow,29
66,nmvssmarques,0.2859096337579618,red,31
67,onericardo,0.2859096337579618,red,34
68,micaandrade2902,0.2859096337579618,blue,33
69,Pokerrapxim,0.28432501979414093,blue,40
70,matheushm07,0.28365126382306477,red,40
71,s0undzzbala,0.28120790916209865,blue,31
72,Coolbreezexz123,0.2803298204527713,yellow,40
73,Pekito10,0.2803298204527713,yellow,40
74,vicliv,0.2794571984435798,blue,39
75,MARTYMTEYXEYRA,0.2781584043377227,yellow,40
76,Moukinho,0.27794311145510836,red,36
77,DannyTeixeira87,0.27602036894696386,red,38
78,joaosr1989,0.2758083717357911,yellow,40
79,TimFagg,0.27559669992325403,yellow,40
80,pdpt25,0.27496362940275654,yellow,35
81,lthejustice,0.27496362940275654,blue,36
82,Fenouil79,0.2747532517214996,blue,35
83,TetraCoprs,0.27391495041952707,red,40
84,RichieSanti20,0.27370617378048784,yellow,31
85,Zecapi314,0.273497715156131,red,40
86,adiogopaiva,0.27328957382039576,red,40
87,skull5492,0.2716357791225416,blue,40
88,lanr912,0.2716357791225416,yellow,40
89,RicardoRibeir0,0.27102075471698117,red,40
90,Blankingdom,0.27081636500754147,blue,40
91,FMBCJC,0.26979902329075883,red,40
92,JoaoVM07,0.2695964714714715,yellow,40
93,Cruxish,0.26919227886056973,red,39
94,Burgburs,0.26919227886056973,yellow,38
95,Goncacorr,0.26798694029850745,blue,38
96,QueenAnaMar,0.26798694029850745,red,40
97,Kiooss,0.2675875558867362,yellow,40
98,ricardoiraq,0.26679234769687965,blue,40
99,balianx,0.26659428359317,red,39
100,Elfskull,0.26639651335311576,blue,39
101,Mizehza,0.26639651335311576,red,40
102,FakadasMC,0.26619903632320235,red,33
103,MaraujoAndre,0.26619903632320235,yellow,37
104,Castanheira1985,0.26619903632320235,red,40
105,GreatRock33,0.2654120473022912,red,40
106,bela154,0.26521602658788773,yellow,38
107,jobesanitas,0.26482485250737464,blue,40
108,BrunoPatricio,0.26443483063328427,red,40
109,brokkendoll,0.2638519470977223,yellow,30
110,carapinha94,0.26365822320117477,blue,39
111,PokeCorisco,0.2632716275659824,yellow,40
112,MysthicFoxGirl,0.26307875457875457,blue,39
113,MightyRuca,0.26307875457875457,blue,40
114,1pokefil,0.26307875457875457,red,38
115,Edas20,0.26307875457875457,blue,38
116,JoltikDQ,0.26307875457875457,blue,40
117,hrflopes,0.26307875457875457,blue,40
118,Rafacoelho7,0.26307875457875457,red,36
119,Cachamelo,0.26307875457875457,red,34
120,Pokyxana,0.26307875457875457,blue,37
121,BigNoobBoss,0.26307875457875457,red,31
122,hyordanov,0.2609756540697674,yellow,34
123,Chentobi,0.2605968795355588,blue,39
124,Dizoli15,0.26003077480086895,blue,33
125,napalm4dw,0.26003077480086895,blue,36
126,GNNagash,0.26003077480086895,red,40
127,Ginorberigio,0.25927978339350183,blue,40
128,WhiteU,0.25927978339350183,yellow,37
129,Tchukay,0.25927978339350183,yellow,36
130,NunoCentral,0.2589059120403749,blue,35
131,SilverSilverSil,0.2583471223021583,yellow,40
132,simalves,0.2568687410586552,blue,40
133,Danyuny,0.2565017857142857,red,40
134,Marcio699,0.2565017857142857,yellow,39
135,Zecaxi,0.25631870092790865,blue,40
136,Pedroalvim13,0.25631870092790865,yellow,32
137,NunoReix,0.25540718349928876,blue,34
138,bernasmr,0.25540718349928876,red,34
139,JMRC1992,0.25540718349928876,yellow,35
140,poketabom,0.25540718349928876,yellow,35
141,ARROOZ,0.2552256574271499,red,40
142,Patojonas,0.25486337828246985,red,40
143,Naikowe,0.2537826855123675,yellow,40
144,IgroIgor,0.2530673009161381,red,40
145,Gtony84,0.25253340365682136,yellow,40
146,Jotsifo,0.25217872191011237,red,37
147,Cooper96,0.2518250350631136,blue,36
148,brurib606,0.2516485634197618,blue,40
149,FamelZundap,0.25147233893557425,yellow,34
150,gongassauros,0.25147233893557425,blue,35
151,Giant29,0.2512963610916725,red,40
152,AzarAChegar,0.250945143256464,red,40
153,Riimiranda,0.250945143256464,blue,35
154,Etorini,0.250945143256464,yellow,31
155,baggytrousers81,0.250945143256464,blue,37
156,Kajava050,0.250945143256464,blue,31
157,Rafadas,0.250945143256464,blue,39
158,Do0msdayy,0.250945143256464,yellow,39
159,LeCaesar,0.250945143256464,red,40
160,CilioG0,0.250945143256464,blue,40
161,Pingox1,0.250945143256464,yellow,30
162,jmst83,0.250945143256464,blue,40
163,PedroRib09,0.250945143256464,blue,23
164,Jmcerq,0.250945143256464,blue,33
165,Atoniuu,0.250945143256464,yellow,30
166,Pcerceos,0.250945143256464,blue,35
167,MisterManding0,0.250945143256464,yellow,40
168,Ancestral1993,0.250945143256464,red,37
169,PMPM74,0.250945143256464,blue,38
170,Alcobia610,0.250945143256464,red,40
171,NJS76,0.250945143256464,yellow,39
172,OrangeOlympus,0.250945143256464,yellow,36
173,8hrGymIsMaxCoin,0.250945143256464,red,35
174,NunoTheMaster,0.250945143256464,red,40
175,Nir1972,0.250945143256464,yellow,40
176,Nepia98,0.250945143256464,blue,40
177,Darksquallleon,0.250945143256464,blue,27
178,JOR1967,0.250945143256464,yellow,40
179,FrancisFzz,0.250945143256464,red,33
180,Tipassos,0.250945143256464,yellow,37
181,Galaticvs,0.250945143256464,red,37
182,SinTomas,0.250945143256464,red,37
183,Tugateso,0.250945143256464,blue,35
184,Gcardoso01,0.250945143256464,blue,30
185,Gowrilaz,0.250945143256464,blue,32
186,Santoscjp,0.250945143256464,blue,37
187,Southking1906,0.250945143256464,yellow,24
188,Filipemaiarosa,0.250945143256464,red,40
189,Gu1lhermeSlb904,0.25059490579204463,red,40
190,MastermEmpire,0.25059490579204463,yellow,34
191,XuxuDoPd,0.2502456445993031,yellow,30
192,Callofkthulu,0.2502456445993031,yellow,33
193,ShyeraL,0.2502456445993031,blue,38
194,MANELRIBEIRO,0.2502456445993031,blue,36
195,LuckyGuest,0.2502456445993031,yellow,34
196,fli0dhais,0.2502456445993031,blue,36
197,LiguTF,0.2502456445993031,blue,40
198,MMartins7,0.2502456445993031,red,32
199,JohnFire1,0.2502456445993031,red,35
200,Arcadefirego,0.2502456445993031,red,34
201,JMota1994,0.2502456445993031,blue,40
202,Srtoad,0.2502456445993031,red,39
203,TEMPLUSMASTER,0.24989735560194853,yellow,40
204,SoriedemGO,0.24989735560194853,blue,39
205,Alextreiner1227,0.24868594182825485,blue,37
206,Mgmartinss,0.24868594182825485,blue,39
207,ManteigaDeLula,0.24868594182825485,blue,36
208,Rafadomingues96,0.24868594182825485,blue,40
209,Ppsalves,0.24868594182825485,blue,30
210,Anuchinha,0.24697558459422286,blue,40
211,Ninnffaj,0.24680584192439864,red,36
212,frenzy73,0.24646705559368565,red,40
213,TiagoKenpachi,0.24629801097393692,red,33
214,play3maniac,0.24296515561569687,blue,37
215,Johnydi92,0.2428008789722786,blue,33
216,Crucefix,0.24263682432432432,yellow,34
217,RicardoLeeXc,0.24263682432432432,red,40
218,AshNestum,0.24230937921727397,blue,40
219,SaraSCZ,0.24230937921727397,blue,40
220,BraaveHeaart,0.24230937921727397,red,40
221,MegaSharkG0,0.24230937921727397,blue,40
222,Tiagopitukinha2,0.24052411252511724,yellow,38
223,Tandorina,0.24052411252511724,red,37
224,pemimig,0.24052411252511724,yellow,37
225,5Mauro,0.24052411252511724,red,35
226,Sttikky,0.24052411252511724,blue,39
227,felizardopt,0.24052411252511724,yellow,40
228,IsThisMajorTom,0.24052411252511724,blue,40
229,Drigoide21,0.24052411252511724,red,38
230,bumboclausto,0.24052411252511724,blue,40
231,GrimoireHollow,0.24052411252511724,yellow,34
232,IDreI,0.24052411252511724,blue,40
233,DuartehVader,0.24052411252511724,blue,40
234,Bosgas,0.24004177807486632,red,36
235,HunterStive,0.24004177807486632,blue,29
236,PedroEvangelho,0.24004177807486632,blue,32
237,Phabiolous,0.24004177807486632,blue,40
238,Tifimeco,0.24004177807486632,yellow,40
239,SmilerPortugal,0.2395613742494997,blue,40
240,Simpletongui,0.23892381902860946,blue,39
241,kabonga82,0.23734467944481163,blue,40
242,mavmgm95,0.23734467944481163,red,34
243,PantufaMaster,0.23656291172595523,yellow,33
244,Samaheras,0.23501472513089006,blue,40
245,iTzSniCK,0.23409550195567147,red,40
246,inesnnogueira,0.23379069010416667,yellow,40
247,Jomitex,0.23288099870298312,yellow,40
248,catajesus,0.2327300712896954,blue,40
249,JohnyBigodes,0.23242880258899676,blue,34
250,Bentoxvii,0.23242880258899676,blue,34
251,Stultusz,0.23152965828497743,red,40
252,diverbea,0.2313804768041237,blue,40
253,Pokericeira,0.2313804768041237,red,40
254,fatimagraca,0.2313804768041237,red,34
255,BrunoMatos82,0.23123148744365746,red,34
256,FRAGZ,0.23004644458680334,red,35
257,Zibs2,0.23004644458680334,blue,33
258,tascv,0.229605179028133,red,37
259,APipa2102,0.22945846645367413,red,35
260,L0rdOfEv1L,0.22945846645367413,blue,40
261,Challenger1602,0.22916560306317804,red,40
262,CRAZYPLAYY,0.22901945153061223,blue,31
263,bodabodinha,0.22901945153061223,yellow,39
264,PACR2,0.22887348629700446,red,32
265,MrKunami,0.22887348629700446,yellow,33
266,MTBacano,0.22872770700636944,red,33
267,Pedrolebest,0.22872770700636944,yellow,34
268,LeTicks,0.22872770700636944,blue,34
269,CapitaoAlatrist,0.22872770700636944,yellow,30
270,TMpolicarpo,0.22872770700636944,yellow,34
271,Tigasbento,0.22742400253324888,red,30
272,SeIIene,0.22699273072060683,blue,40
273,PokeAcoriano,0.22699273072060683,yellow,39
274,JoniCosta,0.22599276274386407,red,30
275,JohnnyAlbatroz,0.22514263322884015,blue,40
276,Morabidino23,0.2250015664160401,blue,40
277,TNeckes,0.2250015664160401,red,30
278,Cryogenium,0.2250015664160401,red,31
279,DavidsNF,0.2250015664160401,yellow,38
280,Pedrokemon12,0.22471996245306636,yellow,40
281,JohnLoc75,0.22471996245306636,red,40
282,Nuxo,0.2242988757026858,yellow,40
283,PipaOndas,0.22332245024875622,red,37
284,CaioSAC,0.22332245024875622,yellow,40
285,Exotnaf,0.22318365444375388,red,39
286,Rubenford,0.22318365444375388,blue,40
287,Invihz,0.22318365444375388,red,40
288,Aifosofiapesto,0.22304503105590062,red,31
289,dishadow99,0.22304503105590062,blue,28
290,loia16,0.22221689356435642,red,33
291,DiogoQ16,0.22207946815089674,yellow,40
292,Seeker06,0.22207946815089674,red,35
293,RedAngel1904,0.22180512662137122,red,31
294,danielscgo,0.2216682098765432,red,40
295,ricardonuno01,0.2216682098765432,blue,37
296,magaleska,0.221258471965496,blue,40
297,LuckKrlosPs,0.22112222906403942,yellow,40
298,JoeOfTheGames,0.22112222906403942,blue,30
299,RicardoJMF91,0.22085024600246003,yellow,31
300,Hydilus,0.2205789312039312,red,25
301,Bilrazard,0.2205789312039312,red,34
302,Gama1134,0.2205789312039312,red,26
303,Miguelvidex,0.22003829656862747,red,32
304,mnlr89,0.21869823386114495,yellow,38
305,Brunaldo22,0.218565124771759,yellow,36
306,DurumakiPedruto,0.21829939209726443,blue,35
307,Augustus61,0.21803430479659988,red,39
308,Wizardmeister,0.21645720313441832,yellow,37
309,fcmatias,0.21645720313441832,blue,36
310,Rodrigoats,0.21593656043295248,blue,30
311,SilverWolfPTPT,0.21593656043295248,red,36
312,Lfrjesus,0.21593656043295248,blue,40
313,Diogogomes90,0.21593656043295248,red,37
314,LXLocco,0.21593656043295248,blue,39
315,D3lphos,0.21593656043295248,blue,36
316,Rfa18,0.21593656043295248,yellow,34
317,Costafeller,0.21593656043295248,red,36
318,Perseuh,0.21593656043295248,yellow,36
319,ParasiteEve,0.21593656043295248,red,40
320,DonnieDrakoEU,0.21593656043295248,blue,30
321,PabloChappo,0.21593656043295248,red,29
322,Zetoscp,0.21349732461355528,red,38
323,t0rqu3,0.21211015948021264,yellow,32
324,Pachiren,0.21012434172030428,blue,40
325,jpcc00,0.2081753623188406,red,36
326,migueldajuda,0.20626220562894887,blue,38
327,Alftrasher,0.20438389299943086,red,40
328,RitzMendes,0.20334229898074746,blue,40
329,Ticoxande,0.2024253100338219,yellow,31
330,Bastelico,0.2024253100338219,yellow,34
331,ElisabeteJesus,0.2024253100338219,blue,40
332,Anna917Lucy,0.2024253100338219,yellow,32
333,AnyLove79,0.20231126760563378,blue,40
334,100balelas,0.20231126760563378,red,40
335,NMRPGugas,0.20231126760563378,red,40
336,SN0OP3R7,0.20231126760563378,blue,37
337,Kidojoaok,0.2021973536036036,blue,40
338,Brocoly,0.2021973536036036,red,40
339,Hayrezz,0.2021973536036036,red,36
340,Duplicado21,0.2021973536036036,red,40
341,Silva10mateus,0.2021973536036036,blue,40
342,Moozdzn,0.2021973536036036,yellow,28
343,Milkas123,0.2021973536036036,blue,40
344,AmadoxStreet,0.2021973536036036,blue,31
345,d1Ruk,0.2021973536036036,yellow,40
346,Pim3nta89,0.2021973536036036,red,38
347,Maste2436,0.2021973536036036,yellow,39
348,Vbreezy,0.2021973536036036,yellow,34
349,didas29,0.2019699100112486,red,36
350,joadiaf,0.2002802565532627,yellow,36
351,Vcarrega,0.19916943982251803,blue,40
352,jdavidgil,0.19872855561704483,red,40
353,gymboy777,0.19828961899503036,yellow,40
354,danielasm4,0.19828961899503036,blue,31
355,DudaFCM7,0.19358625336927224,red,37
356,Zakiusfarinha,0.19193078567610905,red,38
357,MichelJ23,0.19193078567610905,blue,38
358,LigmaMarbles,0.19193078567610905,yellow,34
359,R0das31,0.19193078567610905,blue,33
360,J121warrior,0.18761886102403344,yellow,38
361,RicardoSanptlx,0.18761886102403344,blue,40
362,HollowSpawn,0.18761886102403344,red,39
363,Perakori,0.18761886102403344,yellow,37
364,btgds,0.18703255208333333,blue,31
365,naginii33,0.1828424134419552,yellow,38
366,RuiCaneira,0.18265640895218718,blue,40
367,Provedor07,0.18256354855109302,red,29
368,dash13062,0.18200836289913838,blue,38
369,NerfertitiiGirl,0.18173203441295546,yellow,35
370,arjarnrb,0.1814565437089439,yellow,40
371,Brooklyhn,0.17973098098098098,red,34
372,martanarizinho,0.17821464019851116,blue,33
373,Chuupaacabra,0.1738995157384988,red,37
374,DavidPT97,0.1738995157384988,yellow,33
375,Rrotiv,0.17381534365924492,red,35
376,ENDraganerys,0.17339570255915016,yellow,33
377,peterrareosa,0.16717993482309124,yellow,38
378,AlexandreGil,0.1646503897294819,blue,34
379,RocketSummoner,0.1470526208026208,yellow,33
380,eumininel,0.005,yellow,32
381,PetherPT,0.003333333333333333,blue,34
382,OrnitorrinkoXD,0.003333333333333333,red,36
383,anajdev,0.0025,blue,34
384,PCaeiros,0.0025,red,40
385,nunofuckinsousa,0.0025,blue,31
386,rei99999,0.0025,red,28
387,catygalhanas,0.0025,red,35
388,cacanacueca,0.0025,yellow,30
389,Daniloab,0.0025,blue,38
390,AndreNunes1992,0.0025,red,35
391,Zlordpokemonb,0.0025,red,37
392,martinero,0.0025,blue,27
393,Gagaspires,0.0025,yellow,38
394,lfdamo,0.0025,blue,36
395,Kyzouki,0.0025,blue,40
396,Sn1tram,0.0025,yellow,37
397,RandomPerpect,0.0025,red,33
398,fbernardo,0.0025,blue,35
399,RestDragon1,0.0025,blue,27
400,Whatimblack,0.0025,blue,31
